film_title,category,plot
Son Durak: Kan Bağı,"Korku, Gizem","Eğer ""ölümün"" planlarını bozarsanız işler çok karmaşık bir hâl alabilir. Sürekli tekrar eden şiddetli bir kâbusla boğuşan üniversite öğrencisi Stefanie, bu döngüyü kırıp aile fertlerini, onları bekleyen korkunç ölümden kurtarabilecek tek kişinin izini sürmek için eve döner."
Son Damla,"Gerilim, Dram, Suç","Bardağı taşıran son damla hangisi olacak? Çalışkan bir bekâr anne, felaketlerle dolu bir gün nedeniyle dayanma sınırına ulaşınca çaresizlik içinde şaşırtıcı bir hamle yapar."
Amatör,"Gerilim, Aksiyon","Filmde Rami Malek, Charlie Heller adında zeki ancak içine kapanık bir deşifre uzmanını canlandırıyor. Langley'deki CIA merkezi binasında bodrum katındaki ofisinde çalışan Heller'ın hayatı, Londra'daki bir terörist saldırısında karısının öldürülmesinin ardından altüst olur. Yetkililerin harekete geçmeyi reddetmesi üzerine Charlie, işleri kendi eline alır ve sorumluları bulmak için tehlikeli bir yolculuğa çıkar. Zekası, peşinden koşanlardan kaçmak ve intikamını almak için en güçlü silahı olacaktır."
Ejderhanı Nasıl Eğitirsin,"Aksiyon, Aile, Fantastik","Vikingler ve ejderhaların nesiller boyu amansız düşmanlar olduğu Berk adasında Hıçkıdık farklı bir duruş sergiliyor. Vast Şefi Stoick’in yaratıcı ama göz ardı edilen oğlu Hıçkıdık, korkulan bir Gecenin Öfkesi ejderhası olan Dişsiz ile arkadaş olduğunda yüzyıllardır süregelen geleneklere meydan okur. Aralarındaki alışılmadık bağ, ejderhaların gerçek doğasını ortaya çıkararak Viking toplumunun temellerine karşı gelir. Azimli ve hırslı Astrid ve köyün tuhaf demircisi Gobber ile birlikte Hıçkıdık, korku ve yanlış anlamalarla dolu bir dünyayla yüzleşir. Hem Vikingleri hem de ejderhaları tehlikeye atan kadim bir tehdit ortaya çıkarken, Hıçkıdık’ın Dişsiz ile olan dostluğu yeni bir gelecek kurmanın anahtarı haline gelir. Birlikte, dünyalarının sınırlarının ötesine uçarak ve bir kahraman ve lider olmanın ne anlama geldiğini yeniden tanımlayarak barışa giden hassas yolda ilerlemeleri gerekir."
Predator: Killer of Killers,"Animasyon, Aksiyon, Bilim-Kurgu","Bu orijinal animasyon antolojisi, insanlık tarihinin en dişli üç savaşçısının izinden gidiyor: Genç oğlunu kanlı bir intikam yolculuğuna gönderen bir Viking akıncısı, feodal Japonya’da Samuray kardeşine karşı acımasız bir taht mücadelesine girişen bir ninja ve dünya dışı bir tehlikeyi araştırmak üzere gökyüzünü mesken tutan bir II. Dünya Savaşı pilotu"
Gizli Görev,"Aksiyon, Komedi, Suç","Gizli Görev, başarı şansını kaçırıp kaçırmadığını sorgulamaya başlayan bir doğaçlama komedi öğretmeni olan Kat rolünde Bryce Dallas Howard'ın oynadığı hızlı tempolu bir aksiyon komedi. Gizli görevdeki bir polis ona hayatının rolünü teklif edince tehlikeli suçluların kimliğine bürünerek Londra'nın çete dünyasına sızmaları için iki öğrencisini işe alır."
Hesaplaşma 2,"Gizem, Suç, Gerilim","Christian Wolff, karmaşık problemleri çözme yeteneğine sahiptir. Eski bir tanıdığı öldürülüp ""muhasebecinin bulunması"" için şifreli bir mesaj bırakınca Wolff, olayı çözmeye yardım etmesi için uzak ve oldukça ölümcül erkek kardeşi Brax'i dahil etmek zorunda kalır. ABD Hazine Müdür Yardımcısı Medina ile birlikte ölümcül bir komployu ortaya çıkarırlar ve acımasız bir katil şebekesinin hedefi olurlar."
Life After Fighting,"Aksiyon, Dram, Gerilim","Emekli dövüş sanatları dünya şampiyonu Alex Faulkner, iki öğrencisinin ortadan kaybolması, evine yakın bir yerde düşünülemez bir keşfe yol açınca basit bir hayata alıştı. Çocukları bulma umudu tamamen tükenmişken, tutuklu kızların yerini tespit eder ve uluslararası bir çocuk kaçakçılığı operasyonuyla karşı karşıya kalır; bu da onu, bu işin arkasındakilere karşı verdiği hayatının mücadelesine geri çeker."
Günahkarlar,"Korku, Gerilim, Fantastik","Sorunlu hayatlarını geride bırakmaya çalışan ikiz kardeşler yeniden başlamak için memleketlerine döner ancak daha büyük bir kötülüğün onları karşılamak için beklediğini keşfederler. ""Şeytanla dans etmeye devam edersen bir gün peşinden evine gelir."""
Bir Minecraft Filmi,"Aile, Komedi, Macera, Fantastik","Dört uyumsuz, gizemli bir portaldan aniden Üst Dünya'ya çekildiklerinde kendilerini sıradan sorunlarla boğuşurken bulurlar: hayal gücüyle beslenen tuhaf, kübik bir harikalar diyarı. Eve geri dönmek için, beklenmedik, uzman bir zanaatkar olan Steve ile büyülü bir göreve çıkarken bu dünyada ustalaşmaları gerekecektir."
Nakavt,"Aksiyon, Dram, Macera","Eski bir dövüşçü, yıllar önce kazara öldürdüğü rakibinin kayıp oğlunu bulmalıdır. Bu uğurda Marsilya'daki acımasız ve vahşi bir çeteyle karşı karşıya gelmeye hazırdır."
Mission: Impossible - Son Hesaplaşma,"Aksiyon, Macera, Gerilim","""Mission: Impossible - Ölümcül Hesaplaşma Birinci Bölüm""ün bıraktığı yerden devam ediyor. Ethan Hunt ve ekibinin, yanlış ellerde dünyanın sonunu getirebilecek bir yapay zekâ programı olan ""Varlık""a ulaşma mücadelesini anlatıyor. Ethan, bu kez sadece dünyayı kurtarmakla kalmaz, aynı zamanda geçmişteki hesaplaşmaları da sonlandırmak zorundadır."
Ballerina,"Aksiyon, Gerilim, Suç","John Wick: Bölüm 3 - Parabellum olaylarının geçtiği zaman diliminde yer alan Ballerina, Ruska Roma'nın suikastçı geleneklerinde eğitimine başlayan Eve Macarro'nun hikayesini anlatıyor."
Ağır İşçi,"Aksiyon, Suç, Gerilim","Levon Cade, eski bir Kraliyet Deniz Komandosu'dur ve artık inşaat işçisi olarak sakin bir yaşam sürmektedir. Ancak patronunun genç kızı Jenny'nin insan kaçakçıları tarafından kaçırılmasıyla birlikte, Levon eski yeteneklerini kullanmak zorunda kalır. Jenny'yi bulmak için çıktığı bu yolculuk, onu büyük bir yolsuzluk ve hükümet ajanlarının insan kaçakçılığına karıştığı bir komploya götürür."
Pamuk Prenses,"Aile, Fantastik","Güzel bir kız olan Pamuk Prenses, üvey annesi olan kötü Kraliçe'den saklanmak için ormandaki yedi cücelerin evine sığınır. Kraliçe, Pamuk Prenses'in güzelliğini kıskanır çünkü ""ülkenin en güzeli"" olarak bilinmek ister."
Echo Valley,"Gerilim, Dram","Julianne Moore, sorunlu kızı korkmuş ve başka birinin kanıyla kaplı hâlde kapısında belirince münzevi hayatının düzeni bozulan Kate'i oynar. Kate, şoke edici gerçeği öğrendiğinde çocuğu için ne kadar ileriye gidebileceğini görür."
K-Pop: İblis Avcıları,"Animasyon, Fantastik, Aksiyon, Müzik, Komedi","K-pop süperstarları Rumi, Mira ve Zoey, stadyumlarda kapalı gişe konserler vermedikleri zamanlarda hayranlarını doğaüstü bir tehditten korumak için gizli güçlerini kullanır."
Ejderhanı Nasıl Eğitirsin,"Fantastik, Macera, Animasyon, Aile","Ejderhalar Berk Adası'nı kendilerine mesken seçmişlerdir. Senelerce acımasız mahlukat tarafından yağmalanan talihsiz adanın biçare yerlileri için hayvanlarını çalıp evlerini yakan bu ejderhaları tepelemek bir nevi namus borcudur. Yetişkinlik çağına erişen genç erkeklerin yapması gereken tek şey bir ejderhayı öldürmektir. Zamanı geldiğinde köyün şefinin tuhaf oğlu Hiccup, icat ettiği tuhaf mekanizmalı silahı bir yaratığa doğrultarak onu öldürmeye yeltenir. Nadir bir türe ait olan bu ejderhayı bir türlü öldüremeyen Hiccup, hayvanı ormana götürerek serbest bırakır. Sonrasında ise aralarında sadakat ve içtenlik barındıran bir arkadaşlık gelişir."
Moana 2,"Animasyon, Macera, Aile, Komedi","Moana ve Maui'yi üç yıl sonra alışılmadık denizcilerden oluşan bir ekiple birlikte geniş kapsamlı yeni bir yolculuk için yeniden bir araya getiriyor. Yol gösterici atalarından beklenmedik bir çağrı alan Moana, daha önce karşılaşmadığı bir macera için Okyanusya'nın uzak denizlerine, tehlikeli ve uzun süredir bilinmeyen sularına yolculuk etmek zorunda."
Thunderbolts*,"Aksiyon, Bilim-Kurgu, Macera","Yelena Belova önderliğinde, MCU'nun en beklenmedik kahramanlarından oluşan aykırı bir takım bir araya geliyor. Valentina Allegra de Fontaine’in kurduğu ölümcül bir tuzağa düşen bu dışlanmış karakterler, geçmişlerinin en karanlık yönleriyle yüzleşmek zorunda kalacakları tehlikeli bir göreve çıkacaklar."
Çatışma,"Savaş, Aksiyon","Gözetim görevleri ters gidince kendilerini büyük bir tehlikenin içinde bulan ABD Özel Kuvvetler müfrezesinin yürek parçalayıcı gerçek hikâyesi. Çatışma, savaşın şiddetini benzeri görülmemiş bir şekilde yansıtıyor ve kardeşlik, fedakarlık ve hayatta kalma konularını çekincesizce ele alıyor."
Elio,"Aile, Komedi, Macera, Animasyon, Bilim-Kurgu","Aktif bir hayal gücüne sahip bir mazlum olan Elio, yanlışlıkla kendisini uzak ve geniş galaksilerden temsilcilerin bulunduğu gezegenler arası bir organizasyon olan Communiverse'e ışınlanmış halde bulur. Yanlışlıkla Dünya'nın evrenin geri kalanına elçisi olarak tanımlanan ve bu tür bir baskıya tamamen hazırlıksız olan Elio, eksantrik uzaylı yaşam formlarıyla yeni bağlar kurmalı, bir dizi zorlu sınavdan sağ çıkmalı ve bir şekilde gerçekte kim olması gerektiğini keşfetmelidir."
28 Gün Sonra,"Korku, Gerilim, Bilim-Kurgu","İngiltere'de bir genetik araştırmalar ensitüsünde insan doğasındaki şiddet ve öfkeyle ilgili bazı tehlikeli deneyler yapılmış ve bunun sonucunda 'rage' adını verdikleri bir virüs geliştirilmiştir. Bir grup aktivist, biliminsanlarının maymunlara zarar verdikleri gerekçesiyle deneylerin yapıldığı binaya sızarak korunaklı kafeslerde tutulan ve 'rage' virüsü aşılanan maymunlardan birini serbest bırakırlar. Fakat serbest kalan maymun kafesten çıkar çıkmaz eylemcilerden birine saldırır ve olaylar içinden çıkılmaz bir hal alır."
